Index,TeamA,TeamB,TeamAruns,TeamBruns,TossWinner_Name,TossDecision,PlayConditions,MatchWinner_ID
0,Bangalore,Kolkata,82,222,2,1,-1,Kolkata
1,Punjab,Chennai,207,240,3,0,1,Chennai
2,Delhi,Rajasthan,132,129,5,0,-1,Delhi
3,Mumbai,Bangalore,165,166,7,0,1,Bangalore
4,Kolkata,Hyderabad,112,110,11,0,-1,Kolkata
5,Rajasthan,Punjab,168,166,4,0,-1,Rajasthan
6,Hyderabad,Delhi,142,143,11,0,-1,Delhi
7,Chennai,Mumbai,208,202,7,1,-1,Chennai
8,Hyderabad,Rajasthan,214,217,5,1,-1,Rajasthan
9,Punjab,Mumbai,182,116,7,1,-1,Punjab
10,Bangalore,Rajasthan,135,138,5,1,1,Rajasthan
11,Chennai,Kolkata,152,147,1,0,-1,Chennai
12,Mumbai,Hyderabad,154,155,11,1,1,Hyderabad
13,Punjab,Delhi,162,158,6,0,-1,Punjab
14,Bangalore,Chennai,165,178,3,0,-1,Chennai
15,Kolkata,Mumbai,137,138,1,0,-1,Mumbai
16,Delhi,Bangalore,191,181,2,1,-1,Delhi
17,Hyderabad,Punjab,164,167,4,1,1,Punjab
18,Rajasthan,Kolkata,196,151,5,0,-1,Rajasthan
19,Chennai,Delhi,169,172,3,0,-1,Delhi
20,Hyderabad,Bangalore,165,171,11,0,-1,Bangalore
21,Punjab,Kolkata,178,169,4,0,1,Punjab
22,Mumbai,Delhi,16,133,6,1,1,Mumbai
23,Rajasthan,Chennai,110,109,3,0,-1,Rajasthan
24,Bangalore,Punjab,126,127,4,1,-1,Punjab
25,Chennai,Hyderabad,144,148,11,1,-1,Hyderabad
26,Mumbai,Rajasthan,104,103,7,1,-1,Mumbai
27,Delhi,Chennai,187,188,3,1,1,Chennai
28,Kolkata,Bangalore,129,124,1,0,-1,Kolkata
29,Rajasthan,Hyderabad,141,140,5,1,-1,Rajasthan
30,Bangalore,Mumbai,122,126,7,1,-1,Mumbai
31,Chennai,Punjab,181,163,4,1,-1,Chennai
32,Hyderabad,Kolkata,181,204,1,0,1,Kolkata
33,Rajasthan,Delhi,159,156,5,1,-1,Rajasthan
34,Punjab,Bangalore,1,143,2,0,-1,Punjab
35,Kolkata,Delhi,133,110,1,0,-1,Kolkata
36,Mumbai,Chennai,158,156,7,1,-1,Mumbai
37,Punjab,Rajasthan,221,180,5,1,-1,Punjab
38,Delhi,Hyderabad,194,182,11,1,-1,Delhi
39,Mumbai,Kolkata,68,67,7,1,-1,Mumbai
40,Delhi,Punjab,118,94,6,0,1,Punjab
41,Rajasthan,Bangalore,197,132,2,1,-1,Rajasthan
42,Hyderabad,Mumbai,153,178,11,1,1,Mumbai
43,Kolkata,Chennai,149,55,1,0,-1,Chennai
44,Bangalore,Delhi,154,158,6,1,-1,Delhi
45,Kolkata,Rajasthan,147,150,5,1,-1,Rajasthan
46,Mumbai,Punjab,188,189,7,1,1,Punjab
47,Chennai,Bangalore,112,126,2,0,-1,Bangalore
48,Punjab,Hyderabad,178,175,4,1,-1,Punjab
49,Delhi,Mumbai,179,176,6,1,1,Delhi
50,Chennai,Rajasthan,201,211,5,0,-1,Rajasthan
51,Bangalore,Hyderabad,171,165,11,1,-1,Bangalore
52,Kolkata,Punjab,175,174,4,0,-1,Kolkata
53,Rajasthan,Mumbai,146,145,5,1,-1,Rajasthan
54,Hyderabad,Chennai,147,148,11,0,-1,Chennai
55,Delhi,Rajasthan,87,192,6,1,-1,Rajasthan
56,Chennai,Punjab,116,112,4,0,-1,Chennai
57,Chennai,Rajasthan,163,164,5,1,-1,Rajasthan
58,Chennai,Mumbai,146,165,3,1,1,Mumbai
59,Bangalore,Rajasthan,133,58,2,0,-1,Bangalore
60,Delhi,Punjab,58,104,6,1,1,Delhi
61,Hyderabad,Kolkata,104,101,1,0,-1,Hyderabad
62,Bangalore,Chennai,87,179,3,0,-1,Chennai
63,Punjab,Kolkata,158,79,1,1,-1,Kolkata
